message,selected_messages,sentiment
the view from here is stunning,view stunning,positive
the museum was informative,museum informative,positive
i dont have strong feelings either way,dont strong feelings either way,neutral
the hotel was comfortable,hotel comfortable,positive
this software is very complicated,software complicated,negative
the game was challenging,game challenging,positive
the speaker was inspiring,speaker inspiring,positive
i enjoyed this very much,enjoyed much,positive
the car is not reliable,car reliable,negative
im ambivalent about this,im ambivalent,neutral
the service at this restaurant was mediocre,service restaurant mediocre,neutral
the scenery here is breathtaking,scenery breathtaking,positive
this company is excellent,company excellent,positive
the movie was okay,movie okay,neutral
im not happy with this product,im happy product,negative
i dont really have an opinion on this,dont really opinion,neutral
the weather is nice today,weather nice today,positive
the book was okay,book okay,neutral
i dont care about this,dont care,neutral
the hike was invigorating,hike invigorating,positive
this is a terrible company,terrible company,negative
the performance was below average,performance average,negative
im not sure if i want to pursue this,im sure want pursue,neutral
the food was not bad,food bad,neutral
the service at this hotel was mediocre,service hotel mediocre,neutral
this phone is just okay,phone okay,neutral
the traffic is heavy,traffic heavy,negative
this movie was disappointing,movie disappointing,negative
im not interested in this,im interested,neutral
the beach was dirty,beach dirty,negative
the food was terrible and overpriced,food terrible overpriced,negative
i regret buying this,regret buying,negative
the view from here is unremarkable,view unremarkable,neutral
the museum was dull,museum dull,negative
i have no strong opinion on this,strong opinion,neutral
the hotel was noisy during the day,hotel noisy day,neutral
this software is frustrating to use,software frustrating use,negative
the game was boring,game boring,negative
the speaker was uninteresting,speaker uninteresting,negative
i did not enjoy this,enjoy,negative
the car is expensive,car expensive,negative
im unsure about this,im unsure,neutral
the service at this restaurant was poor,service restaurant poor,negative
the scenery here is unimpressive,scenery unimpressive,neutral
this company is awful,company awful,negative
the movie was terrible,movie terrible,negative
im very unhappy with this product,im unhappy product,negative
i have no preference,preference,neutral
the weather is awful today,weather awful today,negative
the book was boring,book boring,negative
im not interested in this topic,im interested topic,neutral
the hike was difficult,hike difficult,negative
this is a useless product,useless product,negative
the performance was excellent,performance excellent,positive
im on the fence about this,im fence,neutral
the food was not good,food good,negative
the service at this hotel was poor,service hotel poor,negative
this phone is disappointing,phone disappointing,negative
the traffic is unbearable,traffic unbearable,negative
this movie was not worth watching,movie worth watching,negative
i dont care one way or the other,dont care one way,neutral
the beach was crowded and dirty,beach crowded dirty,negative
the food was below average,food average,negative
i regret purchasing this product,regret purchasing product,negative
the view from here is unappealing,view unappealing,negative
the museum was uninteresting,museum uninteresting,negative
i have no strong feelings about this,strong feelings,neutral
the hotel was overpriced,hotel overpriced,negative
this software is a nightmare to use,software nightmare use,negative
the game was frustrating,game frustrating,negative
the speaker was dull,speaker dull,negative
i wouldnt recommend this,wouldnt recommend,negative
the car is old and unreliable,car old unreliable,negative
im undecided about this,im undecided,neutral
the service at this restaurant was terrible,service restaurant terrible,negative
the scenery here is unremarkable,scenery unremarkable,neutral
this company is horrible,company horrible,negative
the movie was not enjoyable,movie enjoyable,negative
im dissatisfied with this product,im dissatisfied product,negative
i have no opinion on this,opinion,neutral
the weather is terrible today,weather terrible today,negative
the book was not interesting,book interesting,negative
i really enjoyed the movie,really enjoyed movie,positive
the food was terrible,food terrible,negative
im not sure how i feel about this,im sure feel,neutral
the service was excellent,service excellent,positive
i had a bad experience,bad experience,negative
this is a great product,great product,positive
i wouldnt recommend this,wouldnt recommend,negative
the price is a bit high,price bit high,neutral
i dont care about this subject,dont care subject,neutral
the hike was uneventful,hike uneventful,neutral
this is an average product,average product,neutral
the performance was good,performance good,neutral
i have mixed feelings about this,mixed feelings,neutral
the food was satisfactory,food satisfactory,neutral
the service at this hotel was average,service hotel average,neutral
this phone is average,phone average,neutral
the traffic is typical for this time of day,traffic typical time day,neutral
this movie was average,movie average,neutral
im indifferent to this,im indifferent,neutral
the beach was average,beach average,neutral
the museum was average,museum average,neutral
i have no opinion on this,opinion,neutral
the hotel was average,hotel average,neutral
this software is average,software average,neutral
the game was average,game average,neutral
the speaker was average,speaker average,neutral
i have no strong emotions about this,strong emotions,neutral
the car is average,car average,neutral
i dont have a preference,dont preference,neutral
the service at this restaurant was average,service restaurant average,neutral
the scenery here is average,scenery average,neutral
this company is average,company average,neutral
the book was average,book average,neutral
i have no strong feelings one way or the other,strong feelings one way,neutral
the weather is average today,weather average today,neutral
im not particularly interested in this,im particularly interested,neutral
the hike was average,hike average,neutral
this is a typical product,typical product,neutral
the performance was average,performance average,neutral
im neutral on this,im neutral,neutral
the food was average,food average,neutral
the service at this hotel was standard,service hotel standard,neutral
this phone is standard,phone standard,neutral
the traffic is normal,traffic normal,neutral
this movie was mediocre,movie mediocre,neutral
i have no strong opinion about this,strong opinion,neutral
the beach was unremarkable,beach unremarkable,neutral
the museum was standard,museum standard,neutral
i have no strong feelings about this,strong feelings,neutral
the hotel was standard,hotel standard,neutral
this software is standard,software standard,neutral
the game was standard,game standard,neutral
the speaker was standard,speaker standard,neutral
im indifferent to this,im indifferent,neutral
the car is standard,car standard,neutral
i have no preference,preference,neutral
the service at this restaurant was standard,service restaurant standard,neutral
the scenery here is standard,scenery standard,neutral
this company is standard,company standard,neutral
the book was standard,book standard,neutral
i dont feel strongly about this,dont feel strongly,neutral
the weather is normal today,weather normal today,neutral
i have no particular interest in this,particular interest,neutral
the hike was standard,hike standard,neutral
this is a regular product,regular product,neutral
the performance was satisfactory,performance satisfactory,neutral
im undecided on this,im undecided,neutral
the food was regular,food regular,neutral
the service at this hotel was okay,service hotel okay,neutral
this phone is regular,phone regular,neutral
the traffic is average,traffic average,neutral
this movie was regular,movie regular,neutral
i have no opinion on this,opinion,neutral
the beach was typical,beach typical,neutral
the museum was okay,museum okay,neutral
i have no strong opinions about this,strong opinions,neutral
the hotel was average,hotel average,neutral
this software is regular,software regular,neutral
the game was average,game average,neutral
the speaker was average,speaker average,neutral
im neutral about this,im neutral,neutral
the car is average,car average,neutral
i have no preference,preference,neutral
the service at this restaurant was okay,service restaurant okay,neutral
the scenery here is regular,scenery regular,neutral
this company is regular,company regular,neutral
the book was okay,book okay,neutral
im neutral on this,im neutral,neutral
the weather is regular today,weather regular today,neutral
i dont have a particular interest in this,dont particular interest,neutral
the hike was regular,hike regular,neutral
this is an ordinary product,ordinary product,neutral
the performance was typical,performance typical,neutral
im neutral about this,im neutral,neutral
the food was ordinary,food ordinary,neutral
the service at this hotel was average,service hotel average,neutral
this phone is ordinary,phone ordinary,neutral
the traffic is standard,traffic standard,neutral
this movie was ordinary,movie ordinary,neutral
i have no strong opinions on this,strong opinions,neutral
the beach was standard,beach standard,neutral
the museum was average,museum average,neutral
i have no opinion on this,opinion,neutral
the hotel was ordinary,hotel ordinary,neutral
this software is ordinary,software ordinary,neutral
the pizza was delicious,pizza delicious,positive
i had an amazing time at the party,amazing time party,positive
the hotel was great,hotel great,positive
this phone is fantastic,phone fantastic,positive
the view from the top was breathtaking,view top breathtaking,positive
the customer service was excellent,customer service excellent,positive
i love this product,love product,positive
the movie was fantastic,movie fantastic,positive
i had a great experience,great experience,positive
the food was delicious,food delicious,positive
the staff at the restaurant was wonderful,staff restaurant wonderful,positive
im really happy with my purchase,im really happy purchase,positive
the hotel room was comfortable,hotel room comfortable,positive
i enjoyed every moment of my vacation,enjoyed every moment vacation,positive
the service at this spa was amazing,service spa amazing,positive
im impressed with the quality of this product,im impressed quality product,positive
the atmosphere at the party was fun,atmosphere party fun,positive
this restaurant has amazing food,restaurant amazing food,positive
the staff at the hotel were friendly and helpful,staff hotel friendly helpful,positive
the concert was incredible,concert incredible,positive
im in love with this place,im love place,positive
the drinks were great,drinks great,positive
the service at this restaurant was excellent,service restaurant excellent,positive
i cant wait to come back here,cant wait come back,positive
the hotel staff went above and beyond,hotel staff went beyond,positive
im so glad i tried this product,im glad tried product,positive
the beach was beautiful,beach beautiful,positive
the staff at the store were so helpful,staff store helpful,positive
this is the best phone ive ever owned,best phone ive ever owned,positive
the show was amazing,show amazing,positive
im so happy i booked this vacation,im happy booked vacation,positive
the coffee was excellent,coffee excellent,positive
the staff at the spa were very professional,staff spa professional,positive
im really impressed with this company,im really impressed company,positive
the service at the hotel was outstanding,service hotel outstanding,positive
the food at this restaurant was topnotch,food restaurant topnotch,positive
i love the design of this product,love design product,positive
the hotel amenities were great,hotel amenities great,positive
the staff at the museum were very knowledgeable,staff museum knowledgeable,positive
i had a wonderful time at the event,wonderful time event,positive
im so grateful for the help i received from customer service,im grateful help received customer service,positive
the product exceeded my expectations,product exceeded expectations,positive
the room was clean and comfortable,room clean comfortable,positive
im really enjoying this book,im really enjoying book,positive
the service at this salon was topnotch,service salon topnotch,positive
im so glad i made this purchase,im glad made purchase,positive
the food at the wedding was delicious,food wedding delicious,positive
hey whats up ,hey whats,neutral
im feeling soso ,im feeling soso,neutral
thanks for your help ,thanks help,neutral
im not sure what to do ,im sure,neutral
can we reschedule our meeting ,reschedule meeting,neutral
im on my way ,im way,neutral
this weather is crazy ,weather crazy,neutral
im not feeling great ,im feeling great,neutral
im looking forward to our vacation ,im looking forward vacation,neutral
i dont know what i want to eat ,dont know want eat,neutral
im in the middle of something can i call you back later ,im middle something call back later,neutral
im trying to decide between two options ,im trying decide two options,neutral
it was nice meeting you ,nice meeting,neutral
im just hanging out at home ,im hanging home,neutral
im not really sure what you mean ,im really sure mean,neutral
im sorry i cant make it to the party ,im sorry cant make party,neutral
im so tired ,im tired,neutral
can you remind me of the details ,remind details,neutral
im not feeling very productive today ,im feeling productive today,neutral
im just doing some work from home today ,im work home today,neutral
i dont know if i have time for that ,dont know time,neutral
im not sure if im doing this right ,im sure im right,neutral
im feeling a bit overwhelmed ,im feeling bit overwhelmed,neutral
im not sure what to wear today ,im sure wear today,neutral
im thinking about going for a run ,im thinking going run,neutral
im not sure if im ready for this ,im sure im ready,neutral
im just hanging out with friends tonight ,im hanging friends tonight,neutral
im really hungry ,im really hungry,neutral
im feeling a bit better now ,im feeling bit better,neutral
im not sure if i can make it to the meeting ,im sure make meeting,neutral
im not feeling well today ,im feeling well today,neutral
im trying to stay positive ,im trying stay positive,neutral
im not sure what to say ,im sure say,neutral
im feeling pretty good today ,im feeling pretty good today,neutral
im feeling a bit lost right now ,im feeling bit lost right,neutral
im just taking it easy today ,im taking easy today,neutral
im not sure if im ready for this ,im sure im ready,neutral
im feeling a bit anxious ,im feeling bit anxious,neutral
im not sure what to do next ,im sure next,neutral
im not really sure how to respond to that ,im really sure respond,neutral
im just enjoying the nice weather ,im enjoying nice weather,neutral
im feeling a bit under the weather ,im feeling bit weather,neutral
im not sure if i should go to the gym ,im sure go gym,neutral
im feeling a bit overwhelmed with work ,im feeling bit overwhelmed work,neutral
im just relaxing at home ,im relaxing home,neutral
im not sure if i want to do that ,im sure want,neutral
im feeling a bit bored ,im feeling bit bored,neutral
im not sure if im up for that ,im sure im,neutral
im just trying to stay focused ,im trying stay focused,neutral
im feeling a bit stressed out ,im feeling bit stressed,neutral
im not sure if im ready to make that decision ,im sure im ready make decision,neutral
im feeling a bit distracted today ,im feeling bit distracted today,neutral
im not sure if im doing this right ,im sure im right,neutral
im just hanging out with my family today ,im hanging family today,neutral
im feeling a bit uncertain about things right now ,im feeling bit uncertain things right,neutral
im not sure what to make for dinner ,im sure make dinner,neutral
im just taking it one day at a time ,im taking one day time,neutral
im feeling a bit restless today ,im feeling bit restless today,neutral
im not sure if im in the mood for that ,im sure im mood,neutral
im just trying to stay positive ,im trying stay positive,neutral
im feeling a bit out of my comfort zone ,im feeling bit comfort zone,neutral
im not sure if i can make it to the event ,im sure make event,neutral
im just enjoying some alone time ,im enjoying alone time,neutral
im feeling a bit stuck right now ,im feeling bit stuck right,neutral
im not sure what to do with my free time ,im sure free time,neutral
im just trying to figure things out ,im trying figure things,neutral
im feeling a bit overwhelmed with everything going on ,im feeling bit overwhelmed everything going,neutral
im not sure if im making the right decision ,im sure im making right decision,neutral
im just taking things one step at a time ,im taking things one step time,neutral
im feeling a bit frustrated today ,im feeling bit frustrated today,neutral
im not sure if i should say anything ,im sure say anything,neutral
im just trying to keep things in perspective ,im trying keep things perspective,neutral
im feeling a bit confused right now ,im feeling bit confused right,neutral
im not sure what to do next ,im sure next,neutral
im just trying to stay focused on my goals ,im trying stay focused goals,neutral
im feeling a bit lost without my phone ,im feeling bit lost without phone,neutral
im not sure if i should go out tonight ,im sure go tonight,neutral
im just trying to find my way ,im trying find way,neutral
im feeling a bit bored with my routine ,im feeling bit bored routine,neutral
im not sure what to do with my spare time ,im sure spare time,neutral
im just trying to keep my head above water ,im trying keep head water,neutral
im feeling a bit restless today ,im feeling bit restless today,neutral
im not sure if im up for that challenge ,im sure im challenge,neutral
im just trying to stay positive and keep moving forward ,im trying stay positive keep moving forward,neutral
im feeling a bit uncertain about the future ,im feeling bit uncertain future,neutral
im not sure what to do with my life ,im sure life,neutral
im just trying to make the most of every day ,im trying make every day,neutral
im feeling a bit overwhelmed with everything on my plate ,im feeling bit overwhelmed everything plate,neutral
im not sure if im ready to take that risk ,im sure im ready take risk,neutral
im just trying to stay focused on my work ,im trying stay focused work,neutral
im feeling a bit stressed out today ,im feeling bit stressed today,neutral
im not sure what to do with my weekend ,im sure weekend,neutral
im just trying to find some balance in my life ,im trying find balance life,neutral
im feeling a bit lost without a plan ,im feeling bit lost without plan,neutral
im not sure if i should reach out to them ,im sure reach,neutral
im feeling so happy today ,im feeling happy today,positive
im loving this beautiful weather ,im loving beautiful weather,positive
im so grateful for my friends and family ,im grateful friends family,positive
im feeling great after my workout this morning ,im feeling great workout morning,positive
im enjoying this delicious meal ,im enjoying delicious meal,positive
im feeling so proud of myself for accomplishing my goals ,im feeling proud accomplishing goals,positive
im loving spending time with my significant other ,im loving spending time significant,positive
im feeling so blessed to have such amazing people in my life ,im feeling blessed amazing people life,positive
im enjoying this relaxing day at home ,im enjoying relaxing day home,positive
im feeling so inspired by the people around me ,im feeling inspired people around,positive
im loving this new book im reading ,im loving new book im reading,positive
im feeling so motivated to tackle my todo list today ,im feeling motivated tackle todo list today,positive
im enjoying this beautiful scenery ,im enjoying beautiful scenery,positive
im feeling so excited for the future ,im feeling excited future,positive
im loving this new hobby i picked up ,im loving new hobby picked,positive
im feeling so grateful for all the opportunities in my life ,im feeling grateful opportunities life,positive
im enjoying this fun night out with friends ,im enjoying fun night friends,positive
im feeling so happy to be alive and healthy ,im feeling happy alive healthy,positive
im loving this new music i discovered ,im loving new music discovered,positive
im feeling so fulfilled by my work and accomplishments ,im feeling fulfilled work accomplishments,positive
im enjoying this muchneeded vacation ,im enjoying muchneeded vacation,positive
im feeling so content with my life right now ,im feeling content life right,positive
im loving this cozy evening in with a good movie ,im loving cozy evening good movie,positive
im feeling so lucky to have such supportive people in my life ,im feeling lucky supportive people life,positive
im enjoying this beautiful view from the top of the mountain ,im enjoying beautiful view top mountain,positive
im so excited for the concert tonight ,im excited concert tonight,positive
i just got a promotion at work ,got promotion work,positive
i love spending time with my family ,love spending time family,positive
i had the best vacation ever ,best vacation ever,positive
im so happy to be back home with my loved ones ,im happy back home loved ones,positive
i just finished a project ive been working on for months ,finished project ive working months,positive
im grateful for all the good things in my life ,im grateful good things life,positive
i just got a surprise visit from an old friend ,got surprise visit old friend,positive
i love trying new foods and flavors ,love trying new foods flavors,positive
i had an amazing date last night ,amazing date last night,positive
im so proud of my accomplishments this year ,im proud accomplishments year,positive
i love spending time in nature ,love spending time nature,positive
i just completed a marathon ,completed marathon,positive
im so grateful for the people in my life who support me ,im grateful people life support,positive
i love seeing my favorite band live in concert ,love seeing favorite band live concert,positive
i just received a compliment from my boss ,received compliment boss,positive
im so happy to be surrounded by positive people ,im happy surrounded positive people,positive
i love learning new things and expanding my knowledge ,love learning new things expanding knowledge,positive
i just got a new puppy and hes the cutest thing ever ,got new puppy hes cutest thing ever,positive
im grateful for the little things in life ,im grateful little things life,positive
i just won first place in a competition ,first place competition,positive
im so lucky to have such a supportive and loving partner ,im lucky supportive loving partner,positive
i love exploring new places and cultures ,love exploring new places cultures,positive
i just achieved a personal goal i set for myself ,achieved personal goal set,positive
im so grateful for the beautiful weather today ,im grateful beautiful weather today,positive
i love seeing my friends and catching up with them ,love seeing friends catching,positive
i just received a thoughtful gift from someone special ,received thoughtful gift someone special,positive
im so happy to have a job i love and am passionate about ,im happy job love passionate,positive
i love spending time with my pets ,love spending time pets,positive
i just completed a challenging workout ,completed challenging workout,positive
im so grateful for the opportunities i have in life ,im grateful opportunities life,positive
i love trying new things and stepping out of my comfort zone ,love trying new things stepping comfort zone,positive
i just got a great grade on a test i studied hard for ,got great grade test studied hard,positive
im so happy to have supportive and loving friends ,im happy supportive loving friends,positive
i love going on adventures and exploring new things ,love going adventures exploring new things,positive
i just completed a difficult task and it feels amazing ,completed difficult task feels amazing,positive
im so grateful for my health and wellbeing ,im grateful health wellbeing,positive
i love spending time with my significant other and creating new memories ,love spending time significant creating new memories,positive
i just received a promotion at work ,received promotion work,positive
im so happy to be surrounded by positivity and good vibes ,im happy surrounded positivity good vibes,positive
i love trying new things and pushing my limits ,love trying new things pushing limits,positive
i just achieved a major milestone in my personal life ,achieved major milestone personal life,positive
im feeling so down today ,im feeling today,negative
i just found out i didnt get the job i applied for ,found didnt get job applied,negative
i hate feeling so stressed and overwhelmed ,hate feeling stressed overwhelmed,negative
i had a terrible day at work today ,terrible day work today,negative
im so disappointed in myself for making that mistake ,im disappointed making mistake,negative
i just went through a breakup and it hurts so much ,went breakup hurts much,negative
i cant believe i failed that exam ,cant believe failed exam,negative
i hate feeling so alone and isolated ,hate feeling alone isolated,negative
im so tired of dealing with drama and negativity ,im tired dealing drama negativity,negative
i just lost my wallet and all my important documents ,lost wallet important documents,negative
im so sick and tired of feeling sick and tired ,im sick tired feeling sick tired,negative
i hate the way i look in this outfit ,hate way look outfit,negative
i just got into a fight with my best friend ,got fight best friend,negative
im so stressed out about everything going on in my life ,im stressed everything going life,negative
i hate feeling so powerless and helpless ,hate feeling powerless helpless,negative
i just got some bad news and i dont know how to deal with it ,got bad news dont know deal,negative
im so disappointed in someone i trusted ,im disappointed someone trusted,negative
i cant believe how much work i have to do and how little time i have ,cant believe much work little time,negative
i hate feeling so anxious and on edge all the time ,hate feeling anxious edge time,negative
i just got rejected by someone i really liked ,got rejected someone really liked,negative
im so tired of feeling like nothing is going right in my life ,im tired feeling like nothing going right life,negative
i hate the way people are treating me lately ,hate way people treating lately,negative
i just lost my pet and im heartbroken ,lost pet im heartbroken,negative
im so frustrated with myself for not being able to do better ,im frustrated able better,negative
i hate feeling so overwhelmed and out of control ,hate feeling overwhelmed control,negative
i just lost my job and dont know what to do ,lost job dont know,negative
im so frustrated with how my day is going ,im frustrated day going,negative
i just got into a fight with my partner and its not going well ,got fight partner going well,negative
i hate when things dont go according to plan ,hate things dont go according plan,negative
im so disappointed with how things turned out ,im disappointed things turned,negative
i just got some bad news and im feeling down ,got bad news im feeling,negative
im so stressed out with everything going on ,im stressed everything going,negative
i hate dealing with difficult people ,hate dealing difficult people,negative
i just got into a car accident and my car is totaled ,got car accident car totaled,negative
im so tired of the drama in my life ,im tired drama life,negative
i just failed a test i studied so hard for ,failed test studied hard,negative
im so upset about the way things turned out ,im upset way things turned,negative
i hate feeling like im not good enough ,hate feeling like im good enough,negative
i just got rejected from my dream job ,got rejected dream job,negative
im so overwhelmed with everything on my plate ,im overwhelmed everything plate,negative
i hate dealing with rude and disrespectful people ,hate dealing rude disrespectful people,negative
i just had a falling out with a close friend ,falling close friend,negative
im so disappointed with myself for making a mistake ,im disappointed making mistake,negative
i hate feeling like im stuck in a rut ,hate feeling like im stuck rut,negative
i just got into an argument with a family member and its not going well ,got argument family member going well,negative
im so frustrated with my lack of progress ,im frustrated lack progress,negative
i hate feeling like im not in control of my life ,hate feeling like im control life,negative
i just got some bad news about my health ,got bad news health,negative
im so stressed out about my financial situation ,im stressed financial situation,negative
i hate when things dont go as planned and i have to start over ,hate things dont go planned start,negative
i just got a raise and my salary is now  ,got raise salary,positive
im so excited to be going to disneyland tomorrow ,im excited going disneyland tomorrow,positive
i had the best sushi for lunch today at this restaurant httpwwwsushifusioncom ,best sushi lunch today restaurant httpwwwsushifusioncom,positive
i just finished reading an amazing book that i highly recommend ,finished reading amazing book highly recommend,positive
im so happy to be living in my dream apartment with a view of the ocean ,im happy living dream apartment view ocean,positive
i just completed a k run in  minutes ,completed k run minutes,positive
im grateful for my new car that gets  miles per gallon ,im grateful new car gets miles per gallon,positive
i love my new dress that i got on sale for only  ,love new dress got sale,positive
i just booked a trip to italy and im so excited ,booked trip italy im excited,positive
im so grateful for my health and fitness journey  ive lost  pounds ,im grateful health fitness journey ive lost pounds,positive
i just finished a painting that im really proud of ,finished painting im really proud,positive
i love my new job and the people i work with ,love new job people work,positive
i just got a text from my crush asking me out on a date ,got text crush asking date,positive
im grateful for my supportive community and the positive energy they bring ,im grateful supportive community positive energy bring,positive
i just had the best cup of coffee at this new cafe in town httpswwwcafeculturecom ,best cup coffee new cafe town httpswwwcafeculturecom,positive
i need to buy  oranges for my recipe today ,need buy oranges recipe today,neutral
can you send me the link to the article you mentioned earlier ,send link article mentioned earlier,neutral
i have a dentist appointment tomorrow at pm ,dentist appointment tomorrow pm,neutral
i need to water my plants before i leave for work ,need water plants leave work,neutral
im going to the grocery store after work to buy some milk and bread ,im going grocery store work buy milk bread,neutral
im working on a project with a deadline of next week ,im working project deadline next week,neutral
im taking a break from work to stretch my legs ,im taking break work stretch legs,neutral
i need to clean my apartment before my parents come to visit this weekend ,need clean apartment parents come visit weekend,neutral
im watching a movie and eating popcorn right now ,im watching movie eating popcorn right,neutral
i need to call my insurance company to update my policy ,need call insurance company update policy,neutral
im studying for my final exams next week ,im studying final exams next week,neutral
im planning a road trip for this summer with my friends ,im planning road trip summer friends,neutral
im browsing the internet for ideas on how to decorate my apartment ,im browsing internet ideas decorate apartment,neutral
im doing laundry and folding my clothes right now ,im laundry folding clothes right,neutral
i need to buy new shoes for work my old ones are worn out ,need buy new shoes work old ones worn,neutral
i just got a  ticket for parking in the wrong spot ,got ticket parking wrong spot,negative
my phone bill this month is  more than usual i dont know why ,phone bill month usual dont know,negative
i tried a new restaurant and got food poisoning now im stuck in bed ,tried new restaurant got food poisoning im stuck bed,negative
i cant believe my rent just went up  how am i supposed to afford that ,cant believe rent went supposed afford,negative
i have to work on saturday this week and i was planning to go to a concert ,work saturday week planning go concert,negative
my internet has been down all day and i cant get any work done ,internet day cant get work done,negative
i lost my credit card and someone just charged  on it ,lost credit card someone charged,negative
i missed my flight and had to buy a new ticket for  ,missed flight buy new ticket,negative
i got a bad haircut and now i have to wear a hat all week ,got bad haircut wear hat week,negative
i got a parking ticket while i was at the doctors office even though i parked in the designated spot ,got parking ticket doctors office even though parked designated spot,negative
i have to cancel my vacation plans because i cant get time off work ,cancel vacation plans cant get time work,negative
my computer crashed and i lost all my important files ,computer crashed lost important files,negative
i got into a car accident and my car is totaled ,got car accident car totaled,negative
i have a cold and cant stop coughing its really hard to sleep ,cold cant stop coughing really hard sleep,negative
i just found out my ex is dating someone new i feel so heartbroken ,found ex dating someone new feel heartbroken,negative
 id have responded if i were going,id responded going,neutral
 sooo sad i will miss you here in san diego,sooo sad miss san diego,negative
my boss is bullying me,boss bullying,negative
 what interview leave me alone,interview leave alone,negative
 sons of  why couldnt they put them on the releases we already bought,sons couldnt put releases already bought,negative
httpwwwdothebouncycomsmf  some shameless plugging for the best rangers forum on earth,httpwwwdothebouncycomsmf shameless plugging best rangers forum earth,neutral
am feedings for the baby are fun when he is all smiles and coos,feedings baby fun smiles coos,positive
soooo high,soooo high,neutral
 both of you,both of you,neutral
 journey wow u just became cooler  hehe is that possible,journey wow u became cooler hehe possible,positive
 as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,much love hopeful reckon chances minimal p im never gon na get cake stuff,neutral
i really really like the song love story by taylor swift,really really like song love story taylor swift,positive
my sharpie is running dangerously low on ink,sharpie running dangerously low ink,negative
i want to go to music tonight but i lost my voice,want go music tonight lost voice,negative
test test from the lg env,test test lg env,neutral
uh oh i am sunburned,uh oh sunburned,negative
 sok trying to plot alternatives as we speak sigh,sok trying plot alternatives speak sigh,negative
ive been sick for the past few days  and thus my hair looks wierd  if i didnt have a hat on it would look httptinyurlcommnfkw,ive sick past days thus hair looks wierd didnt hat would look httptinyurlcommnfkw,negative
